lon,lat,infestation_percentage
108.97383,34.721912,1
108.99195,34.72619,1
109.02244,34.73033,1
109.015527,34.739896,1
108.99524,34.74158,1
108.90242,34.747723,1
108.96908,34.754726,1
108.992937,34.755577,1
108.9948,34.75906,1
108.95534,34.771072,1
108.97391,34.77445,1
108.983116,34.776478,1
108.96565,34.792908,1
108.97615,34.797348,1
108.90898,34.821465,1
108.907979,34.849209,1
108.915245,34.849403,1
108.915245,34.849403,1
108.89857,34.856106,1
108.85193,34.890705,1
108.858498,34.89665,1
108.89061,34.898975,1
108.972206,34.91603,1
108.97394,34.91778,1
108.96904,34.919602,1
108.87367,34.959167,1
108.949217,34.968296,1
108.949217,34.968296,1
108.95999,34.969456,1
108.922523,34.992519,1
108.98219,35.024933,1
108.949535,35.035138,1
108.8346,35.052082,1
108.972944,35.058064,1
108.970825,35.06292,1
108.96576,35.069572,1
108.96559,35.07134,1
108.971948,35.077739,1
110.5683,35.16827,1
110.61293,35.267723,1
110.50964,35.268826,1
110.498184,35.27365,1
110.54089,35.27874,1
110.56014,35.279655,1
110.51954,35.28358,1
110.547844,35.301216,1
110.547485,35.301926,1
110.527374,35.302406,1
110.51719,35.310738,1
110.573425,35.312767,1
110.524324,35.317446,1
110.540835,35.329487,1
105.770422,35.377254,1
105.734146,35.435486,1
110.82557,35.45105,1
109.69702,35.674426,1
109.58798,35.701912,1
109.44243,35.737373,1
109.55319,35.737488,1
109.46975,35.749626,1
109.44864,35.75595,1
109.44408,35.77339,1
109.444824,35.787866,1
107.739456,35.82702,1
108.2174305,35.96439345,1
109.5784596,35.96457891,1
107.85101,35.984715,1
107.545746,35.995335,1
109.537451,35.995356,1
107.98725,36.067112,1
107.851121,36.089415,1
110.35737,36.61924,1
110.127674,36.847792,1
110.07681,36.87656,1
119.95742,37.187477,1
120.75141,37.311123,1
120.75909,37.315777,1
110.39635,37.336967,1
120.81172,37.3393,1
120.82651,37.342625,1
120.83792,37.379906,1
110.34271,37.44453,1
110.32404,37.453285,1
110.32305,37.453625,1
110.27416,37.50298,1
120.79515,37.545406,1
110.44601,37.638645,1
120.93021,37.657986,1
120.53224,37.690422,1
121.88591,39.195858,1
121.778625,39.242299,1
98.64422,39.808018,1
127.02009,43.92364,1
6.957212427,51.02366957,0
108.060872,34.260459,0
110.985947,35.051022,0
110.53454,35.27716667,0
110.520634,35.302242,0
110.520625,35.30225,0
108.032362,34.301211,0
110.5344833,35.27715167,0
110.520634,35.302242,0
110.520625,35.30225,0
110.520569,35.302297,0
108.8868098,34.84044172,0
6.957306379,51.02368136,0
109.1921567,35.48633191,0
108.8842575,34.83528932,0
108.8842916,34.83498581,0
108.8918871,34.94954288,0
108.8843888,34.8355091,0
108.8918871,34.94954288,0
108.8844752,34.83540956,0
108.8964254,34.95174766,0
108.8964254,34.95174766,0
108.8621291,34.97601407,0
110.503782,35.304622,0
110.503782,35.304622,0
108.871885,34.94998896,0
108.8717262,34.95007758,0
108.8607715,34.95093496,0
108.8630649,34.95141258,0
109.1789577,35.4848617,0
109.1797929,35.48535313,0
109.1832062,35.4874106,0
109.1837766,35.48762916,0
108.7928414,34.88051164,0
108.7928414,34.88051164,0
108.792854,34.8805071,0
108.792854,34.8805071,0
108.7928293,34.88045565,0
108.7989712,34.89154756,0
108.7925979,34.88036859,0
108.7925979,34.88036859,0
108.7928153,34.88043054,0
108.7928153,34.88043054,0
