"species","lon","lat","p"
0,108.8654696,34.96526941,0.539405345916748
0,108.8759112,34.95963801,0.539405345916748
0,108.8894934,34.86423375,0.539405345916748
0,108.8885167,34.86136558,0.539405345916748
0,108.8909423,34.82034372,0.511562645435333
1,108.9956585,34.9596855,0.539405345916748
1,108.8794646,34.8524983,0.539405345916748
1,114.0010216,36.53999532,0.554095804691315
0,114.9736465,36.78939217,0.698902726173401
1,114.5746337,36.72894118,0.908162951469421
0,78.872845,39.70859779,0.0618457235395908
1,108.8793512,34.85242444,0.539405345916748
0,107.8848332,34.44863902,0.437348812818527
1,107.8848332,34.44863902,0.437348812818527
0,107.8858063,34.43640702,0.437348812818527
1,107.8858063,34.43640702,0.437348812818527
0,107.8864133,34.41195745,0.437348812818527
1,107.8864133,34.41195745,0.437348812818527
0,107.8931021,34.45815762,0.437348812818527
1,107.8931021,34.45815762,0.437348812818527
0,107.8954636,34.46898239,0.437348812818527
1,107.8954636,34.46898239,0.437348812818527
0,107.896532,34.45761975,0.437348812818527
0,107.8966388,34.47152681,0.437348812818527
1,107.8966388,34.47152681,0.437348812818527
0,107.8966524,34.4594722,0.437348812818527
1,107.8966524,34.4594722,0.437348812818527
0,107.8977199,34.47324138,0.437348812818527
1,107.8977199,34.47324138,0.437348812818527
0,107.9001724,34.49480867,0.437348812818527
0,107.9006334,34.49760404,0.437348812818527
1,107.9006334,34.49760404,0.437348812818527
0,107.9011988,34.49566194,0.437348812818527
0,107.902311,34.4911605,0.437348812818527
0,107.9130634,34.48851156,0.437348812818527
1,107.9130634,34.48851156,0.437348812818527
0,107.9134153,34.44678996,0.437348812818527
1,107.9134153,34.44678996,0.437348812818527
0,107.9180207,34.45093955,0.437348812818527
1,107.9180207,34.45093955,0.437348812818527
0,108.032362,34.301211,0.573509991168976
0,108.0334447,34.30240581,0.573509991168976
0,108.0336821,34.3022783,0.573509991168976
0,108.0339503,34.30242897,0.573509991168976
0,108.060872,34.260459,0.573509991168976
1,108.070885,34.25926098,0.573509991168976
0,108.070893,34.25930634,0.573509991168976
0,108.0711994,34.26173258,0.573509991168976
0,108.2007516,34.36396236,0.493839710950851
1,108.2007516,34.36396236,0.493839710950851
0,108.2009282,34.34503418,0.493839710950851
1,108.2009282,34.34503418,0.493839710950851
0,108.2053532,34.37259519,0.493839710950851
0,108.2079756,34.37427958,0.493839710950851
1,108.2079756,34.37427958,0.493839710950851
0,108.2238237,34.38517921,0.493839710950851
1,108.2238237,34.38517921,0.493839710950851
0,108.2360387,34.39039326,0.493839710950851
0,108.2866216,34.41171866,0.493839710950851
1,108.2866216,34.41171866,0.493839710950851
0,108.4230832,34.43669172,0.515736818313599
1,108.4230832,34.43669172,0.515736818313599
0,108.4233169,34.4370089,0.515736818313599
1,108.4233169,34.4370089,0.515736818313599
0,108.4233302,34.43725628,0.515736818313599
1,108.4233302,34.43725628,0.515736818313599
0,108.4233484,34.43715901,0.515736818313599
1,108.4233484,34.43715901,0.515736818313599
0,108.424546,34.44007597,0.515736818313599
1,108.424546,34.44007597,0.515736818313599
0,108.4262201,34.43588899,0.515736818313599
0,108.4279815,34.43347951,0.515736818313599
1,108.4279815,34.43347951,0.515736818313599
0,108.4287103,34.43357595,0.515736818313599
1,108.4287103,34.43357595,0.515736818313599
0,108.4570313,33.28109515,-0.121069937944412
0,108.781484,34.91450711,0.230612233281136
0,108.7815768,34.91357716,0.230612233281136
0,108.7925979,34.88036859,0.230612233281136
0,108.7928153,34.88043054,0.230612233281136
0,108.7928293,34.88045565,0.230612233281136
0,108.7928414,34.88051164,0.230612233281136
0,108.792854,34.8805071,0.230612233281136
0,108.7989712,34.89154756,0.230612233281136
0,108.8177112,34.87142498,0.230612233281136
0,108.8231809,35.02030157,0.289480477571487
0,108.8327963,34.85800195,0.230612233281136
