Occurrence Point,lon,lat
Valsa mali,109.015527,34.739896
Valsa mali,108.99524,34.74158
Valsa mali,108.90242,34.747723
Valsa mali,108.96908,34.754726
Valsa mali,108.992937,34.755577
Valsa mali,108.9948,34.75906
Valsa mali,108.9948,34.75906
Valsa mali,108.9948,34.75906
Valsa mali,108.9948,34.75906
Valsa mali,108.9948,34.75906
Valsa mali,108.9948,34.75906
Valsa mali,108.9948,34.75906
Valsa mali,108.9948,34.75906
Valsa mali,108.9948,34.75906
Valsa mali,108.9948,34.75906
Valsa mali,108.9948,34.75906
Valsa mali,108.9948,34.75906
Valsa mali,108.95534,34.771072
Valsa mali,108.97391,34.77445
Valsa mali,108.97391,34.77445
Valsa mali,108.983116,34.776478
Valsa mali,108.983116,34.776478
Valsa mali,108.983116,34.776478
Valsa mali,108.983116,34.776478
Valsa mali,108.983116,34.776478
Valsa mali,108.96565,34.792908
Valsa mali,108.97615,34.797348
Valsa mali,108.97615,34.797348
Valsa mali,108.97615,34.797348
Valsa mali,108.90898,34.821465
Valsa mali,108.90075,34.839485
Valsa mali,108.90075,34.839485
Valsa mali,108.90075,34.839485
Valsa mali,108.90075,34.839485
Valsa mali,108.90075,34.839485
Valsa mali,108.90075,34.839485
Valsa mali,108.90075,34.839485
Valsa mali,108.907979,34.849209
Valsa mali,108.907979,34.849209
Valsa mali,108.915245,34.849403
Valsa mali,108.915245,34.849403
Valsa mali,108.915245,34.849403
Valsa mali,108.915245,34.849403
Valsa mali,108.915245,34.849403
Valsa mali,108.915245,34.849403
Valsa mali,108.915245,34.849403
Valsa mali,108.915245,34.849403
Valsa mali,108.915245,34.849403
Valsa mali,108.915245,34.849403
Valsa mali,108.915245,34.849403
Valsa mali,108.89857,34.856106
Valsa mali,108.85193,34.890705
Valsa mali,108.858498,34.89665
Valsa mali,108.89061,34.898975
Valsa mali,108.972206,34.91603
Valsa mali,108.972206,34.91603
Valsa mali,108.972206,34.91603
Valsa mali,108.972206,34.91603
Valsa mali,108.972206,34.91603
Valsa mali,108.972206,34.91603
Valsa mali,108.972206,34.91603
Valsa mali,108.972206,34.91603
Valsa mali,108.97394,34.91778
Valsa mali,108.96904,34.919602
Valsa mali,108.96904,34.919602
Valsa mali,108.96904,34.919602
Valsa mali,108.96904,34.919602
Valsa mali,108.96904,34.919602
Valsa mali,108.96904,34.919602
Valsa mali,108.96904,34.919602
Valsa mali,108.96904,34.919602
Valsa mali,108.87367,34.959167
Valsa mali,108.949217,34.968296
Valsa mali,108.949217,34.968296
Valsa mali,108.95999,34.969456
Valsa mali,108.922523,34.992519
Valsa mali,108.98219,35.024933
Valsa mali,108.949535,35.035138
Valsa mali,108.8346,35.052082
Valsa mali,108.8346,35.052082
Valsa mali,108.8346,35.052082
Valsa mali,108.8346,35.052082
Valsa mali,108.8346,35.052082
Valsa mali,108.8346,35.052082
Valsa mali,108.8346,35.052082
Valsa mali,108.8346,35.052082
Valsa mali,108.972944,35.058064
Valsa mali,108.972944,35.058064
Valsa mali,108.972944,35.058064
Valsa mali,108.972944,35.058064
Valsa mali,108.970825,35.06292
Valsa mali,108.970825,35.06292
Valsa mali,108.970825,35.06292
Valsa mali,108.970825,35.06292
Valsa mali,108.970825,35.06292
Valsa mali,108.970825,35.06292
Valsa mali,108.970825,35.06292
Valsa mali,108.970825,35.06292
Valsa mali,108.970825,35.06292
Valsa mali,108.970825,35.06292
Valsa mali,108.970825,35.06292
Valsa mali,108.970825,35.06292
Valsa mali,108.970825,35.06292
Valsa mali,108.970825,35.06292
Valsa mali,108.970825,35.06292
Valsa mali,108.970825,35.06292
Valsa mali,108.970825,35.06292
Valsa mali,108.970825,35.06292
Valsa mali,108.970825,35.06292
Valsa mali,108.970825,35.06292
Valsa mali,108.970825,35.06292
Valsa mali,108.970825,35.06292
Valsa mali,108.970825,35.06292
Valsa mali,108.970825,35.06292
Valsa mali,108.970825,35.06292
Valsa mali,108.970825,35.06292
