"rID","infestation_percentage","pre","tmn","tmx","tmp","hfp"
1,0,523.468322753906,69.7619476318359,183.704071044922,126.720252990723,27.6461181640625
2,0,523.468322753906,69.7619476318359,183.704071044922,126.720252990723,27.6461181640625
3,0,523.468322753906,69.7619476318359,183.704071044922,126.720252990723,27.6461181640625
4,0,523.468322753906,69.7619476318359,183.704071044922,126.720252990723,27.6461181640625
5,0,535.311889648438,79.8144378662109,191.685150146484,135.78840637207,29.3120307922363
6,1,523.468322753906,69.7619476318359,183.704071044922,126.720252990723,27.6461181640625
7,1,523.468322753906,69.7619476318359,183.704071044922,126.720252990723,27.6461181640625
8,1,507.562927246094,82.782844543457,195.301208496094,139.048797607422,28.3833904266357
9,0,448.665100097656,82.460807800293,196.947326660156,139.627944946289,29.6824722290039
10,1,464.08349609375,84.0135803222656,198.937057495117,141.454940795898,34.5458030700684
11,0,43.189323425293,61.3723068237305,196.805694580078,129.062591552734,8.9712553024292
12,1,523.468322753906,69.7619476318359,183.704071044922,126.720252990723,27.6461181640625
13,0,552.733093261719,78.9208145141602,189.977661132812,134.471405029297,22.5673828125
14,1,552.733093261719,78.9208145141602,189.977661132812,134.471405029297,22.5673828125
15,0,552.733093261719,78.9208145141602,189.977661132812,134.471405029297,22.5673828125
16,1,552.733093261719,78.9208145141602,189.977661132812,134.471405029297,22.5673828125
17,0,552.733093261719,78.9208145141602,189.977661132812,134.471405029297,22.5673828125
18,1,552.733093261719,78.9208145141602,189.977661132812,134.471405029297,22.5673828125
19,0,552.733093261719,78.9208145141602,189.977661132812,134.471405029297,22.5673828125
20,1,552.733093261719,78.9208145141602,189.977661132812,134.471405029297,22.5673828125
21,0,552.733093261719,78.9208145141602,189.977661132812,134.471405029297,22.5673828125
22,1,552.733093261719,78.9208145141602,189.977661132812,134.471405029297,22.5673828125
23,0,552.733093261719,78.9208145141602,189.977661132812,134.471405029297,22.5673828125
24,0,552.733093261719,78.9208145141602,189.977661132812,134.471405029297,22.5673828125
25,1,552.733093261719,78.9208145141602,189.977661132812,134.471405029297,22.5673828125
26,0,552.733093261719,78.9208145141602,189.977661132812,134.471405029297,22.5673828125
27,1,552.733093261719,78.9208145141602,189.977661132812,134.471405029297,22.5673828125
28,0,552.733093261719,78.9208145141602,189.977661132812,134.471405029297,22.5673828125
29,1,552.733093261719,78.9208145141602,189.977661132812,134.471405029297,22.5673828125
30,0,552.733093261719,78.9208145141602,189.977661132812,134.471405029297,22.5673828125
31,0,552.733093261719,78.9208145141602,189.977661132812,134.471405029297,22.5673828125
32,1,552.733093261719,78.9208145141602,189.977661132812,134.471405029297,22.5673828125
33,0,552.733093261719,78.9208145141602,189.977661132812,134.471405029297,22.5673828125
34,0,552.733093261719,78.9208145141602,189.977661132812,134.471405029297,22.5673828125
35,0,552.733093261719,78.9208145141602,189.977661132812,134.471405029297,22.5673828125
36,1,552.733093261719,78.9208145141602,189.977661132812,134.471405029297,22.5673828125
37,0,552.733093261719,78.9208145141602,189.977661132812,134.471405029297,22.5673828125
38,1,552.733093261719,78.9208145141602,189.977661132812,134.471405029297,22.5673828125
39,0,552.733093261719,78.9208145141602,189.977661132812,134.471405029297,22.5673828125
40,1,552.733093261719,78.9208145141602,189.977661132812,134.471405029297,22.5673828125
41,0,555.392761230469,84.2626190185547,193.200546264648,138.757858276367,32.5178985595703
42,0,555.392761230469,84.2626190185547,193.200546264648,138.757858276367,32.5178985595703
43,0,555.392761230469,84.2626190185547,193.200546264648,138.757858276367,32.5178985595703
44,0,555.392761230469,84.2626190185547,193.200546264648,138.757858276367,32.5178985595703
45,0,555.392761230469,84.2626190185547,193.200546264648,138.757858276367,32.5178985595703
46,1,555.392761230469,84.2626190185547,193.200546264648,138.757858276367,32.5178985595703
47,0,555.392761230469,84.2626190185547,193.200546264648,138.757858276367,32.5178985595703
48,0,555.392761230469,84.2626190185547,193.200546264648,138.757858276367,32.5178985595703
49,0,537.856872558594,79.1043853759766,191.395706176758,135.302856445312,24.4543857574463
50,1,537.856872558594,79.1043853759766,191.395706176758,135.302856445312,24.4543857574463
51,0,537.856872558594,79.1043853759766,191.395706176758,135.302856445312,24.4543857574463
52,1,537.856872558594,79.1043853759766,191.395706176758,135.302856445312,24.4543857574463
53,0,537.856872558594,79.1043853759766,191.395706176758,135.302856445312,24.4543857574463
54,0,537.856872558594,79.1043853759766,191.395706176758,135.302856445312,24.4543857574463
55,1,537.856872558594,79.1043853759766,191.395706176758,135.302856445312,24.4543857574463
56,0,537.856872558594,79.1043853759766,191.395706176758,135.302856445312,24.4543857574463
57,1,537.856872558594,79.1043853759766,191.395706176758,135.302856445312,24.4543857574463
58,0,537.856872558594,79.1043853759766,191.395706176758,135.302856445312,24.4543857574463
59,0,537.856872558594,79.1043853759766,191.395706176758,135.302856445312,24.4543857574463
60,1,537.856872558594,79.1043853759766,191.395706176758,135.302856445312,24.4543857574463
61,0,524.626586914062,81.5418701171875,192.55827331543,137.087005615234,25.7421684265137
62,1,524.626586914062,81.5418701171875,192.55827331543,137.087005615234,25.7421684265137
63,0,524.626586914062,81.5418701171875,192.55827331543,137.087005615234,25.7421684265137
64,1,524.626586914062,81.5418701171875,192.55827331543,137.087005615234,25.7421684265137
65,0,524.626586914062,81.5418701171875,192.55827331543,137.087005615234,25.7421684265137
66,1,524.626586914062,81.5418701171875,192.55827331543,137.087005615234,25.7421684265137
67,0,524.626586914062,81.5418701171875,192.55827331543,137.087005615234,25.7421684265137
68,1,524.626586914062,81.5418701171875,192.55827331543,137.087005615234,25.7421684265137
69,0,524.626586914062,81.5418701171875,192.55827331543,137.087005615234,25.7421684265137
70,1,524.626586914062,81.5418701171875,192.55827331543,137.087005615234,25.7421684265137
71,0,524.626586914062,81.5418701171875,192.55827331543,137.087005615234,25.7421684265137
72,0,524.626586914062,81.5418701171875,192.55827331543,137.087005615234,25.7421684265137
73,1,524.626586914062,81.5418701171875,192.55827331543,137.087005615234,25.7421684265137
74,0,524.626586914062,81.5418701171875,192.55827331543,137.087005615234,25.7421684265137
75,1,524.626586914062,81.5418701171875,192.55827331543,137.087005615234,25.7421684265137
76,0,708.205139160156,64.5500335693359,156.587417602539,110.544189453125,7.74018526077271
77,0,524.76318359375,61.8620338439941,171.43782043457,116.62133026123,17.9381866455078
78,0,524.76318359375,61.8620338439941,171.43782043457,116.62133026123,17.9381866455078
79,0,524.76318359375,61.8620338439941,171.43782043457,116.62133026123,17.9381866455078
80,0,524.76318359375,61.8620338439941,171.43782043457,116.62133026123,17.9381866455078
81,0,524.76318359375,61.8620338439941,171.43782043457,116.62133026123,17.9381866455078
82,0,524.76318359375,61.8620338439941,171.43782043457,116.62133026123,17.9381866455078
83,0,524.76318359375,61.8620338439941,171.43782043457,116.62133026123,17.9381866455078
84,0,524.76318359375,61.8620338439941,171.43782043457,116.62133026123,17.9381866455078
85,0,524.76318359375,61.8620338439941,171.43782043457,116.62133026123,17.9381866455078
86,0,517.331787109375,50.4629783630371,153.920669555664,102.170631408691,15.1285839080811
87,0,524.76318359375,61.8620338439941,171.43782043457,116.62133026123,17.9381866455078
88,0,512.400451660156,57.4327659606934,167.14582824707,112.276496887207,20.4830074310303
89,0,512.400451660156,57.4327659606934,167.14582824707,112.276496887207,20.4830074310303
90,0,523.468322753906,69.7619476318359,183.704071044922,126.720252990723,27.6461181640625
91,0,512.400451660156,57.4327659606934,167.14582824707,112.276496887207,20.4830074310303
92,1,512.400451660156,57.4327659606934,167.14582824707,112.276496887207,20.4830074310303
93,0,523.468322753906,69.7619476318359,183.704071044922,126.720252990723,27.6461181640625
94,0,523.468322753906,69.7619476318359,183.704071044922,126.720252990723,27.6461181640625
95,0,523.468322753906,69.7619476318359,183.704071044922,126.720252990723,27.6461181640625
96,0,512.400451660156,57.4327659606934,167.14582824707,112.276496887207,20.4830074310303
97,1,512.400451660156,57.4327659606934,167.14582824707,112.276496887207,20.4830074310303
98,0,512.400451660156,57.4327659606934,167.14582824707,112.276496887207,20.4830074310303
