"lon","lat","infestation_percentage"
109.0022209,34.7339326,0
109.0060328,34.74763189,0
109.0070158,34.74502614,0
109.0084372,34.74005243,0
109.0202817,35.09390573,0
109.1789577,35.4848617,0
109.1797929,35.48535313,0
109.1832062,35.4874106,0
109.1837766,35.48762916,0
109.1844567,35.48805236,0
109.1849433,35.48834146,0
109.1850774,35.48732679,0
109.1921567,35.48633191,0
110.503782,35.304622,0
110.503782,35.304622,0
110.50395,35.304524,0
110.507796,35.233174,0
110.520569,35.302297,0
110.52061,35.302063,0
110.520612,35.302261,0
110.520625,35.30225,0
110.520634,35.302242,0
110.520789,35.302095,0
110.5229989,35.3029455,0
110.5239462,35.30380025,0
110.532115,35.28353333,0
110.533649,35.278051,0
110.533649,35.278051,0
110.5344833,35.27715167,0
110.53454,35.27716667,0
110.5345433,35.2772,0
110.5346082,35.26884999,0
110.53578,35.27359833,0
110.5405828,35.26581206,0
110.5406367,35.266005,0
110.5411467,35.26598833,0
110.5411793,35.26615663,0
110.5415667,35.2884,0
110.5464317,35.280605,0
110.5497133,35.28573167,0
110.550745,35.268225,0
110.550965,35.26834333,0
110.553531,35.27307287,0
110.553636,35.27195393,0
110.5612951,35.26955889,0
110.841362,35.401772,0
110.97358,35.055381,0
110.985947,35.051022,0
114.0938609,36.09832988,0
114.0943325,36.09852562,0
114.0943368,36.09861479,0
114.0947684,36.0985234,0
114.2738183,34.85097962,0
114.274828,34.850803,0
115.267776,35.26752037,0
108.973885,34.697205,0
112.44264,34.71291,0
109.00501,34.717228,0
108.97383,34.721912,0
108.99524,34.74158,0
104.83343,34.7514,0
108.9948,34.75906,0
108.9948,34.75906,0
108.9948,34.75906,0
108.9948,34.75906,0
108.9948,34.75906,0
108.9948,34.75906,0
108.95534,34.771072,0
108.983116,34.776478,0
108.97615,34.797348,0
108.97615,34.797348,0
108.90075,34.839485,0
108.90075,34.839485,0
108.907979,34.849209,0
108.907979,34.849209,0
108.915245,34.849403,0
108.832969,34.87101,0
108.798,34.887592,0
108.798,34.887592,0
108.798,34.887592,0
108.798,34.887592,0
108.798,34.887592,0
108.798,34.887592,0
108.85193,34.890705,0
108.780876,34.91419,0
108.972206,34.91603,0
108.972206,34.91603,0
108.972206,34.91603,0
108.97394,34.91778,0
108.96395,34.970472,0
108.8346,35.052082,0
109.03659,35.194183,0
109.03659,35.194183,0
110.50964,35.268826,0
110.54089,35.27874,0
110.54089,35.27874,0
110.56014,35.279655,0
110.547844,35.301216,0
110.547844,35.301216,0
110.527374,35.302406,0
110.527374,35.302406,0
110.527374,35.302406,0
110.527374,35.302406,0
110.527374,35.302406,0
110.527374,35.302406,0
110.514208,35.309754,0
110.514208,35.309754,0
119.50884,35.523197,0
109.58798,35.701912,0
109.46975,35.749626,0
109.46975,35.749626,0
109.46975,35.749626,0
109.46975,35.749626,0
109.46975,35.749626,0
109.46975,35.749626,0
109.46975,35.749626,0
109.46975,35.749626,0
109.46975,35.749626,0
109.46975,35.749626,0
109.46975,35.749626,0
109.46975,35.749626,0
109.46975,35.749626,0
109.46975,35.749626,0
109.46975,35.749626,0
109.46975,35.749626,0
109.44864,35.75595,0
109.44864,35.75595,0
109.44864,35.75595,0
109.44864,35.75595,0
109.44864,35.75595,0
109.44864,35.75595,0
109.44864,35.75595,0
109.44864,35.75595,0
109.44864,35.75595,0
109.44864,35.75595,0
109.44864,35.75595,0
103.75021,36.06996,0
114.120476,36.079655,0
110.129364,36.53704,0
118.77011,36.551315,0
109.813481,36.681082,0
110.35082,36.70565,0
110.127674,36.847792,0
110.07681,36.87656,0
110.279925,36.928532,0
120.34701,37.10485,0
120.858283,37.129781,0
120.845024,37.134724,0
120.87417,37.15441,0
120.780525,37.19418,0
120.6755,37.261154,0
120.6755,37.261154,0
120.75566,37.320675,0
120.81172,37.3393,0
120.81172,37.3393,0
120.81172,37.3393,0
120.81172,37.3393,0
120.81172,37.3393,0
120.81172,37.3393,0
120.81172,37.3393,0
120.83792,37.379906,0
120.89707,37.46943,0
110.185585,37.478905,0
110.185585,37.478905,0
110.27416,37.50298,0
120.9708,37.517994,0
112.37959,37.586838,0
120.834816,37.609047,0
120.83981,37.654873,0
110.33202,37.690308,0
120.53224,37.690422,0
121.813416,39.261833,0
98.789345,39.43108,0
98.487474,39.786783,0
80.27076,41.1519,0
80.30867,41.252754,0
