"rID","rot","pre","tmn","tmx","tmp","hfp"
1,1,523.468322753906,69.7619476318359,183.704071044922,126.720252990723,27.6461181640625
2,1,524.626586914062,81.5418701171875,192.55827331543,137.087005615234,25.7421684265137
3,1,524.626586914062,81.5418701171875,192.55827331543,137.087005615234,25.7421684265137
4,1,529.308654785156,37.2476425170898,136.76383972168,87.0127716064453,20.2085704803467
5,1,527.971008300781,79.1364593505859,187.584503173828,133.450302124023,23.9437217712402
6,1,540.871276855469,75.3490447998047,185.370590209961,130.459808349609,24.8711433410645
7,1,547.189514160156,70.7617416381836,181.518753051758,126.178077697754,19.7557334899902
8,1,540.03076171875,80.4415283203125,197.836441040039,139.165878295898,34.3519287109375
9,1,549.928283691406,80.5322723388672,199.10383605957,139.850936889648,33.8092269897461
10,1,541.20849609375,61.1032829284668,174.078674316406,117.655067443848,20.728889465332
11,1,535.311889648438,79.8144378662109,191.685150146484,135.78840637207,29.3120307922363
12,1,535.311889648438,79.8144378662109,191.685150146484,135.78840637207,29.3120307922363
13,1,535.311889648438,79.8144378662109,191.685150146484,135.78840637207,29.3120307922363
14,1,520.699157714844,100.340522766113,209.214874267578,154.728332519531,35.5362892150879
15,1,535.311889648438,79.8144378662109,191.685150146484,135.78840637207,29.3120307922363
16,1,534.9423828125,81.0764465332031,195.770858764648,138.492767333984,29.8820514678955
17,1,535.311889648438,79.8144378662109,191.685150146484,135.78840637207,29.3120307922363
18,1,535.311889648438,79.8144378662109,191.685150146484,135.78840637207,29.3120307922363
19,1,534.9423828125,81.0764465332031,195.770858764648,138.492767333984,29.8820514678955
20,1,534.9423828125,81.0764465332031,195.770858764648,138.492767333984,29.8820514678955
21,1,535.311889648438,79.8144378662109,191.685150146484,135.78840637207,29.3120307922363
22,1,535.311889648438,79.8144378662109,191.685150146484,135.78840637207,29.3120307922363
23,1,482.563537597656,25.0533771514893,125.978851318359,75.5066299438477,24.0443153381348
24,1,535.311889648438,79.8144378662109,191.685150146484,135.78840637207,29.3120307922363
25,1,535.311889648438,79.8144378662109,191.685150146484,135.78840637207,29.3120307922363
26,1,535.311889648438,79.8144378662109,191.685150146484,135.78840637207,29.3120307922363
27,1,535.311889648438,79.8144378662109,191.685150146484,135.78840637207,29.3120307922363
28,1,535.311889648438,79.8144378662109,191.685150146484,135.78840637207,29.3120307922363
29,1,535.311889648438,79.8144378662109,191.685150146484,135.78840637207,29.3120307922363
30,1,535.311889648438,79.8144378662109,191.685150146484,135.78840637207,29.3120307922363
31,1,535.311889648438,79.8144378662109,191.685150146484,135.78840637207,29.3120307922363
32,1,535.311889648438,79.8144378662109,191.685150146484,135.78840637207,29.3120307922363
33,1,523.468322753906,69.7619476318359,183.704071044922,126.720252990723,27.6461181640625
34,1,523.468322753906,69.7619476318359,183.704071044922,126.720252990723,27.6461181640625
35,1,523.468322753906,69.7619476318359,183.704071044922,126.720252990723,27.6461181640625
36,1,523.468322753906,69.7619476318359,183.704071044922,126.720252990723,27.6461181640625
37,1,524.76318359375,61.8620338439941,171.43782043457,116.62133026123,17.9381866455078
38,1,524.76318359375,61.8620338439941,171.43782043457,116.62133026123,17.9381866455078
39,1,523.468322753906,69.7619476318359,183.704071044922,126.720252990723,27.6461181640625
40,1,523.468322753906,69.7619476318359,183.704071044922,126.720252990723,27.6461181640625
41,1,523.468322753906,69.7619476318359,183.704071044922,126.720252990723,27.6461181640625
42,1,524.76318359375,61.8620338439941,171.43782043457,116.62133026123,17.9381866455078
43,1,523.468322753906,69.7619476318359,183.704071044922,126.720252990723,27.6461181640625
44,1,523.468322753906,69.7619476318359,183.704071044922,126.720252990723,27.6461181640625
45,1,523.468322753906,69.7619476318359,183.704071044922,126.720252990723,27.6461181640625
46,1,523.468322753906,69.7619476318359,183.704071044922,126.720252990723,27.6461181640625
47,1,523.468322753906,69.7619476318359,183.704071044922,126.720252990723,27.6461181640625
48,1,523.468322753906,69.7619476318359,183.704071044922,126.720252990723,27.6461181640625
49,1,523.468322753906,69.7619476318359,183.704071044922,126.720252990723,27.6461181640625
50,1,512.400451660156,57.4327659606934,167.14582824707,112.276496887207,20.4830074310303
51,1,512.400451660156,57.4327659606934,167.14582824707,112.276496887207,20.4830074310303
52,1,512.400451660156,57.4327659606934,167.14582824707,112.276496887207,20.4830074310303
53,1,512.400451660156,57.4327659606934,167.14582824707,112.276496887207,20.4830074310303
54,1,512.400451660156,57.4327659606934,167.14582824707,112.276496887207,20.4830074310303
55,1,512.400451660156,57.4327659606934,167.14582824707,112.276496887207,20.4830074310303
56,1,512.400451660156,57.4327659606934,167.14582824707,112.276496887207,20.4830074310303
57,1,512.400451660156,57.4327659606934,167.14582824707,112.276496887207,20.4830074310303
58,1,474.407806396484,73.4863433837891,198.110748291016,135.767730712891,23.2514305114746
59,1,502.743957519531,48.3662109375,155.333023071289,101.830574035645,19.148344039917
60,1,474.407806396484,73.4863433837891,198.110748291016,135.767730712891,23.2514305114746
61,1,474.407806396484,73.4863433837891,198.110748291016,135.767730712891,23.2514305114746
62,1,471.996673583984,75.9779510498047,197.972061157227,136.977127075195,21.083797454834
63,1,474.407806396484,73.4863433837891,198.110748291016,135.767730712891,23.2514305114746
64,1,474.407806396484,73.4863433837891,198.110748291016,135.767730712891,23.2514305114746
65,1,474.407806396484,73.4863433837891,198.110748291016,135.767730712891,23.2514305114746
66,1,474.407806396484,73.4863433837891,198.110748291016,135.767730712891,23.2514305114746
67,1,474.407806396484,73.4863433837891,198.110748291016,135.767730712891,23.2514305114746
68,1,474.407806396484,73.4863433837891,198.110748291016,135.767730712891,23.2514305114746
69,1,474.407806396484,73.4863433837891,198.110748291016,135.767730712891,23.2514305114746
70,1,474.407806396484,73.4863433837891,198.110748291016,135.767730712891,23.2514305114746
71,1,474.407806396484,73.4863433837891,198.110748291016,135.767730712891,23.2514305114746
72,1,474.407806396484,73.4863433837891,198.110748291016,135.767730712891,23.2514305114746
73,1,474.407806396484,73.4863433837891,198.110748291016,135.767730712891,23.2514305114746
74,1,428.149597167969,21.0947971343994,122.659111022949,71.877067565918,20.0165920257568
75,1,428.149597167969,21.0947971343994,122.659111022949,71.877067565918,20.0165920257568
76,1,475.9013671875,71.1094589233398,195.4873046875,133.275421142578,24.8462867736816
77,1,695.548706054688,92.8005828857422,176.285614013672,134.550430297852,30.1061134338379
78,1,465.397369384766,38.5596580505371,146.073974609375,92.3101959228516,10.7761402130127
79,1,469.515014648438,45.8978157043457,162.982040405273,104.424621582031,14.9867401123047
80,0,2671.75390625,90.6682510375977,171.263397216797,130.971557617188,2.81847238540649
81,0,1273.51440429688,148.259017944336,238.545288085938,193.426818847656,11.0358390808105
82,0,705.084777832031,100.071243286133,192.584457397461,146.333160400391,14.5408620834351
83,0,1095.97766113281,87.5819625854492,162.498062133789,125.035980224609,10.1874895095825
84,0,345.99462890625,15.2595710754395,145.899887084961,80.570442199707,12.7477779388428
85,0,613.010620117188,79.6467132568359,166.958648681641,123.266944885254,22.0747318267822
86,0,105.870475769043,4.82794713973999,131.018798828125,67.873649597168,1.82064628601074
87,0,26.4329566955566,52.8802108764648,222.375686645508,137.636108398438,0.0103605631738901
88,0,906.473266601562,111.140342712402,199.880966186523,155.49153137207,9.05724811553955
89,0,361.959381103516,2.34704494476318,137.71516418457,70.0290603637695,12.0598449707031
90,0,447.525909423828,25.4333057403564,143.257278442383,84.3488082885742,21.8753681182861
91,0,34.8386154174805,14.6951198577881,181.981384277344,98.3882751464844,1.50879848003387
92,0,153.021759033203,-11.5032234191895,104.640968322754,46.5582084655762,8.78042221069336
93,0,122.08349609375,26.6111431121826,142.157196044922,84.3413925170898,16.3464164733887
94,0,469.963836669922,-15.5813999176025,98.8854827880859,41.6499977111816,17.6244525909424
95,0,29.4513568878174,42.7453193664551,215.852661132812,129.283187866211,0
96,0,37.1397666931152,8.69723606109619,148.221908569336,78.4481811523438,0.778979539871216
97,0,890.403381347656,23.8419399261475,122.60530090332,73.2225646972656,2.2028284072876
98,0,365.503692626953,-62.871395111084,77.2519149780273,7.15255880355835,5.21797513961792
99,0,1203.43786621094,166.531997680664,235.87321472168,201.208068847656,15.4086122512817
100,0,369.557678222656,-66.0048980712891,57.3321571350098,-4.33554124832153,4.95467281341553
101,0,432.208923339844,37.6817817687988,153.178405761719,95.4274597167969,17.9945774078369
102,0,143.247177124023,0.821588158607483,146.472412109375,73.6484375,7.91386461257935
103,0,78.5694122314453,-67.0822906494141,83.8129425048828,8.33793544769287,1.82334792613983
104,0,751.855346679688,87.1277160644531,174.830062866211,130.959976196289,10.6317138671875
105,0,1169.24389648438,147.444396972656,235.295135498047,191.393356323242,18.2135181427002
106,0,405.976776123047,23.3579158782959,142.320205688477,82.7946319580078,16.1196269989014
107,0,570.073669433594,91.1598434448242,194.974349975586,143.074508666992,32.9262199401855
108,0,132.648910522461,37.1779708862305,153.60920715332,95.4110794067383,3.37734007835388
109,0,534.332641601562,-37.7138633728027,80.5425415039062,21.4307765960693,6.22336912155151
110,0,282.328887939453,10.9457168579102,145.714080810547,78.3143005371094,10.0597620010376
111,0,971.859619140625,148.705871582031,216.795959472656,182.738952636719,26.301139831543
